Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C51,10uF X5R 0805,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,169,-58.15,90,top
C52,10uF X5R 0805,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,160.5,-68.2,90,top
C53,1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,174.1,-73,0,top
C54,10nF 50V X7R 0603,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,162.4,-71.05,0,top
C55,1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,174.1,-67,0,top
C56,10nF 50V X7R 0603,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,166.2,-71.05,0,top
C57,10uF X5R 0805,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,169.1,-68,90,top
C58,10uF X5R 0805,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,160.5,-78.3,90,top
C59,1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,174.1,-83.1,0,top
C60,10nF 50V X7R 0603,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,162.4,-81.15,0,top
C61,1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,174.1,-77.1,0,top
C62,10nF 50V X7R 0603,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,166.2,-81.15,0,top
C63,10uF X5R 0805,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,169.1,-78.1,90,top
C64,10uF X5R 0805,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,160.475,-88.8,90,top
C65,1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,174.075,-93.6,0,top
C66,10nF 50V X7R 0603,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,162.375,-91.65,0,top
C67,1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,174.075,-87.6,0,top
C68,10nF 50V X7R 0603,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,166.175,-91.65,0,top
C69,10uF X5R 0805,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,169.075,-88.6,90,top
C70,10uF X5R 0805,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,160.5,-99.1,90,top
C71,1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,174.1,-103.9,0,top
C72,10nF 50V X7R 0603,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,162.4,-101.95,0,top
C73,1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,174.1,-97.9,0,top
C74,10nF 50V X7R 0603,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,166.2,-101.95,0,top
C75,10uF X5R 0805,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,169.1,-98.9,90,top
C76,10uF X5R 0805,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,160.5,-108.6,90,top
C77,1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,174.1,-113.4,0,top
